1,{'tyres': ['Metal', 'Roller', 'Cushion', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Super Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mach 8', 'Gold Standard', 'Jet Bike'], 'players': ['Oliver', 'Computer', 'Computer', 'Computer'], 'characters': ['Baby Luigi', 'Luigi', 'Roy', 'Larry'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
830,{'tyres': ['Wooden', 'Funky Monster', 'Metal', 'Sponge'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Gold Glider', 'Parafoil', 'Parafoil', 'Cloud Glider'], 'vehicles': ['Pipe Frame', 'Wild Wiggler', 'Buggybud', 'B Dasher'], 'players': ['Andy', 'Thomas', 'Ian', 'Uma'], 'characters': ['Villager (male)', 'Dry Bowser', 'Waluigi', 'Wendy'], 'handicaps before this game': [7.25, 3.5, 9.75, 9.0], 'team selection': 'random'}
831,{'tyres': ['Slim', 'Slim', 'Cyber Slick', 'Crimson Slim'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Waddle Wing', 'Plane Glider', 'Waddle Wing', 'Plane Glider'], 'vehicles': ['Badwagon', 'Gold Standard', 'Gold Standard', 'Tri-Speeder'], 'players': ['Ian', 'Sid', 'Andy', 'Computer'], 'characters': ['Koopa Troopa', 'Dry Bowser', 'Larry', 'Luigi'], 'handicaps before this game': [9.75, 5.5, 7.25, 0.0], 'team selection': 'random'}
832,{'tyres': ['Cushion', 'Leaf Tyres', 'GLA Tyres', 'Crimson Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Gold Glider', 'Wario Wing', 'MKTV Parafoil', 'Super Glider'], 'vehicles': ['Landship', 'Mr. Scooty', 'Bone Rattler', 'Standard Kart'], 'players': ['Ian', 'Andy', 'Uma', 'Sid'], 'characters': ['Morton', 'Peach', 'Tanooki Mario', 'Link'], 'handicaps before this game': [10.25, 7.75, 9.25, 5.5], 'team selection': 'random'}
833,{'tyres': ['GLA Tyres', 'Retro Off-road', 'Cyber Slick', 'Metal'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Parachute', 'Super Glider', 'MKTV Parafoil', 'Waddle Wing'], 'vehicles': ['Streetle', 'Comet', 'Mercedes GLA', 'Circuit Special'], 'players': ['Ian', 'Sid', 'Rob', 'Guy'], 'characters': ['Baby Luigi', 'Ludwig', 'Roy', 'Baby Daisy'], 'handicaps before this game': [10.0, 5.25, 6.75, 5.0], 'team selection': 'random'}
834,{'tyres': ['Retro Off-road', 'Normal Blue', 'Offroad', 'Wooden'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Wario Wing', 'Wario Wing', 'Flower Glider', 'Waddle Wing'], 'vehicles': ['B Dasher', 'Circuit Special', 'Teddy Buggy', 'Varmint'], 'players': ['Sid', 'Andy', 'Ian', 'Computer'], 'characters': ['Mario', 'Donkey Kong', 'Peach', 'Baby Peach'], 'handicaps before this game': [5.0, 8.0, 10.25, 0.0], 'team selection': 'random'}
835,{'tyres': ['Retro Off-road', 'Normal Tyres', 'Slick', 'Retro Off-road'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Flower Glider', 'Parafoil', 'Hylian Kite', 'Parafoil'], 'vehicles': ['City Tripper', 'Prancer', 'Steel Driver', 'Yoshi Bike'], 'players': ['Johan', 'Paulin', 'Mate', 'Guy'], 'characters': ['Waluigi', 'Dry Bowser', 'Peach', 'Pink Gold Peach'], 'handicaps before this game': [7.75, 1.25, 0.0, 5.5], 'team selection': 'random'}
836,{'tyres': ['Roller', 'GLA Tyres', 'Sponge', 'Slim'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Gold Glider', 'Super Glider', 'Parachute'], 'vehicles': ['Flame Rider', 'Mercedes 300 SL Roadster', 'Gold Standard', 'Flame Rider'], 'players': ['Andy', 'Ian', 'Uma', 'Sid'], 'characters': ['Metal Mario', 'Ludwig', 'Roy', 'Ludwig'], 'handicaps before this game': [8.0, 10.75, 9.75, 5.5], 'team selection': 'random'}
837,{'tyres': ['Roller', 'Offroad', 'Retro Off-road', 'Cushion'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Flower Glider', 'Peach Parasol', 'Gold Glider', 'Parafoil'], 'vehicles': ['Standard Quad', 'Badwagon', 'Wild Wiggler', 'Standard Bike'], 'players': ['Sid', 'Thomas', 'Andy', 'Ian'], 'characters': ['Larry', 'Baby Mario', 'Baby Daisy', 'Iggy'], 'handicaps before this game': [5.75, 4.0, 7.75, 11.0], 'team selection': 'random'}
838,{'tyres': ['Normal Blue', 'Monster', 'Metal', 'Offroad'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Wario Wing', 'Waddle Wing', 'Parachute', 'Bowser Kite'], 'vehicles': ['Mach 8', 'Mr. Scooty', 'Varmint', 'Mercedes W 25 Silver Arrow'], 'players': ['Ian', 'Andy', 'Sid', 'Uma'], 'characters': ['Mario', 'Luigi', 'Baby Daisy', 'Baby Rosalina'], 'handicaps before this game': [10.75, 7.5, 6.0, 9.5], 'team selection': 'random'}
839,{'tyres': ['Cyber Slick', 'Cyber Slick', 'Wooden', 'Sponge'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Bowser Kite', 'MKTV Parafoil', 'Plane Glider', 'Bowser Kite'], 'vehicles': ['Yoshi Bike', 'Sport Bike', 'Mach 8', 'Pipe Frame'], 'players': ['Johan', 'Ben', 'Will', 'Guy'], 'characters': ['Baby Mario', 'Ludwig', 'Villager (female)', 'Cat Peach'], 'handicaps before this game': [8.0, -0.75, 2.25, 5.25], 'team selection': 'random'}
840,{'tyres': ['Roller', 'Normal Tyres', 'Monster', 'Cyber Slick'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Wario Wing', 'MKTV Parafoil', 'Super Glider', 'Waddle Wing'], 'vehicles': ['Gold Standard', 'Tanooki Kart', 'Tri-Speeder', 'Mercedes 300 SL Roadster'], 'players': ['Martha', 'Arvinda', 'Paulin', 'Thomas'], 'characters': ['Koopa Troopa', 'Wendy', 'Koopa Troopa', 'Baby Luigi'], 'handicaps before this game': [0.5, 2.5, 1.5, 4.25], 'team selection': 'random'}
841,{'tyres': ['Cyber Slick', 'Retro Off-road', 'Roller', 'Cushion'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'Super Glider', 'MKTV Parafoil', 'Plane Glider'], 'vehicles': ['Yoshi Bike', 'Circuit Special', 'Pipe Frame', 'City Tripper'], 'players': ['Andy', 'Ian', 'Sid', 'Rob'], 'characters': ['Wendy', 'Tanooki Mario', 'Baby Peach', 'Rosalina'], 'handicaps before this game': [7.75, 10.5, 6.25, 6.75], 'team selection': 'random'}
842,{'tyres': ['Leaf Tyres', 'Crimson Slim', 'Roller', 'Slim'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Super Glider', 'Bowser Kite', 'Parafoil'], 'vehicles': ['Jet Bike', 'Master Cycle', 'Gold Standard', 'Standard Kart'], 'players': ['Andy', 'Thomas', 'Sid', 'Ian'], 'characters': ['Dry Bowser', 'Dry Bowser', 'Isabelle', 'Dry Bowser'], 'handicaps before this game': [8.0, 4.5, 6.5, 10.25], 'team selection': 'random'}
843,{'tyres': ['Sponge', 'Azure Roller', 'Slick', 'Cyber Slick'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Bowser Kite', 'Parafoil', 'Flower Glider', 'Parachute'], 'vehicles': ['Bounder', 'Cat Cruiser', 'Prancer', 'Buggybud'], 'players': ['Gordon', 'Paulin', 'Martha', 'Arvinda'], 'characters': ['Toadette', 'Dry Bowser', 'Yoshi', 'Dry Bowser'], 'handicaps before this game': [-0.75, 1.25, 0.25, 2.75], 'team selection': 'random'}
844,{'tyres': ['Sponge', 'Normal Blue', 'Funky Monster', 'GLA Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Hylian Kite', 'Flower Glider', 'Wario Wing', 'Gold Glider'], 'vehicles': ['Standard Quad', 'Sports Coupe', 'Landship', 'Tri-Speeder'], 'players': ['Ian', 'Rob', 'Andy', 'Computer'], 'characters': ['Baby Peach', 'Waluigi', 'Peach', 'Wario'], 'handicaps before this game': [10.5, 6.5, 7.75, 0.0], 'team selection': 'random'}
845,{'tyres': ['Cushion', 'Azure Roller', 'Sponge', 'Offroad'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Wario Wing', 'Parafoil', 'MKTV Parafoil'], 'vehicles': ['Flame Rider', 'Mercedes W 25 Silver Arrow', 'Pipe Frame', 'Gold Standard'], 'players': ['Ian', 'Sid', 'Thomas', 'Uma'], 'characters': ['Shy Guy', 'Waluigi', 'Iggy', 'Peach'], 'handicaps before this game': [10.5, 6.5, 5.0, 9.5], 'team selection': 'random'}
846,{'tyres': ['Cyber Slick', 'Normal Blue', 'Gold Tyres', 'Button'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Paper Glider', 'Cloud Glider', 'Hylian Kite', 'Hylian Kite'], 'vehicles': ['Streetle', 'Blue Falcon', 'Bone Rattler', 'B Dasher'], 'players': ['Ian', 'Sid', 'Jamie', 'Andy'], 'characters': ['Lemmy', 'Villager (female)', 'Pink Gold Peach', 'Baby Peach'], 'handicaps before this game': [10.5, 6.5, 0.0, 8.25], 'team selection': 'random'}
847,{'tyres': ['Monster', 'Roller', 'Slim', 'Button'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Peach Parasol', 'Gold Glider', 'Wario Wing', 'Bowser Kite'], 'vehicles': ['Mercedes W 25 Silver Arrow', 'Comet', 'Teddy Buggy', 'Mercedes W 25 Silver Arrow'], 'players': ['Johan', 'Luca', 'Guy', 'Ben'], 'characters': ['Baby Luigi', 'Peach', 'Wendy', 'Baby Daisy'], 'handicaps before this game': [8.0, 0.0, 5.75, -0.75], 'team selection': 'random'}
848,{'tyres': ['Monster', 'Sponge', 'Monster', 'Azure Roller'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Parafoil', 'MKTV Parafoil', 'Waddle Wing', 'Super Glider'], 'vehicles': ['Comet', 'Mach 8', 'Sport Bike', 'Streetle'], 'players': ['Andy', 'Ian', 'Uma', 'Sid'], 'characters': ['Link', 'Baby Daisy', 'Wendy', 'Rosalina'], 'handicaps before this game': [8.0, 10.75, 9.5, 6.25], 'team selection': 'random'}
849,{'tyres': ['Wooden', 'Metal', 'Cushion', 'Monster'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Hylian Kite', 'Wario Wing', 'Flower Glider', 'Peach Parasol'], 'vehicles': ['The Duke', 'P-Wing', 'Standard Quad', 'Bounder'], 'players': ['Thomas', 'Arvinda', 'Paulin', 'Martha'], 'characters': ['Lemmy', 'Morton', 'Donkey Kong', 'Daisy'], 'handicaps before this game': [5.0, 2.75, 1.75, 0.25], 'team selection': 'random'}
850,{'tyres': ['Metal', 'Metal', 'Sponge', 'Metal'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Flower Glider', 'Parafoil', 'Waddle Wing', 'Gold Glider'], 'vehicles': ['Teddy Buggy', 'Circuit Special', 'Landship', 'Streetle'], 'players': ['Andy', 'Ian', 'Sid', 'Thomas'], 'characters': ['Lemmy', 'Daisy', 'Cat Peach', 'Donkey Kong'], 'handicaps before this game': [8.25, 11.0, 6.0, 5.25], 'team selection': 'random'}
851,{'tyres': ['Slim', 'Leaf Tyres', 'Azure Roller', 'Slick'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Bowser Kite', 'Paper Glider', 'Plane Glider', 'Parachute'], 'vehicles': ['Steel Driver', 'Yoshi Bike', 'Tanooki Kart', 'Comet'], 'players': ['Ian', 'Andy', 'Sid', 'Rob'], 'characters': ['Koopa Troopa', 'Toadette', 'Link', 'Baby Peach'], 'handicaps before this game': [10.75, 8.0, 6.25, 7.0], 'team selection': 'random'}
852,{'tyres': ['Gold Tyres', 'Wooden', 'Roller', 'Roller'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Super Glider', 'Flower Glider', 'Parafoil', 'Parachute'], 'vehicles': ['B Dasher', 'Flame Rider', 'Master Cycle', 'Gold Standard'], 'players': ['Martha', 'Guy', 'Thomas', 'Arvinda'], 'characters': ['Cat Peach', 'Waluigi', 'Baby Rosalina', 'Iggy'], 'handicaps before this game': [0.0, 6.0, 5.5, 2.5], 'team selection': 'random'}
853,{'tyres': ['Funky Monster', 'Roller', 'Cushion', 'Offroad'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Gold Glider', 'Hylian Kite', 'Bowser Kite', 'Super Glider'], 'vehicles': ['Bone Rattler', 'Steel Driver', 'Pipe Frame', 'Flame Rider'], 'players': ['Joe', 'Sid', 'Uma', 'Ian'], 'characters': ['Toad', 'Lakitu', 'Morton', 'Wario'], 'handicaps before this game': [7.0, 6.25, 9.25, 10.75], 'team selection': 'random'}
854,{'tyres': ['GLA Tyres', 'Offroad', 'Roller', 'Offroad'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Hylian Kite', 'Cloud Glider', 'Bowser Kite', 'Plane Glider'], 'vehicles': ['Teddy Buggy', 'Tri-Speeder', 'Sport Bike', 'Yoshi Bike'], 'players': ['Sid', 'Rob', 'Ian', 'Andy'], 'characters': ['Roy', 'Cat Peach', 'Koopa Troopa', 'Baby Daisy'], 'handicaps before this game': [6.5, 7.0, 11.0, 8.0], 'team selection': 'random'}
855,{'tyres': ['Leaf Tyres', 'TriForce Tyres', 'Sponge', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Wario Wing', 'Bowser Kite', 'Super Glider'], 'vehicles': ['Flame Rider', 'Standard Bike', 'Mercedes GLA', 'Gold Standard'], 'players': ['Andy', 'Sid', 'Ian', 'Uma'], 'characters': ['Ludwig', 'Villager (female)', 'Toad', 'Toadette'], 'handicaps before this game': [8.25, 6.25, 10.75, 9.0], 'team selection': 'random'}
856,{'tyres': ['Funky Monster', 'Roller', 'Cyber Slick', 'Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parafoil', 'Waddle Wing', 'Hylian Kite', 'Peach Parasol'], 'vehicles': ['Mercedes W 25 Silver Arrow', 'Sport Bike', 'Standard Bike', 'Comet'], 'players': ['Simon', 'Paulin', 'Oliver', 'Guy'], 'characters': ['Baby Daisy', 'Toad', 'Roy', 'Tanooki Mario'], 'handicaps before this game': [3.0, 2.0, 8.5, 5.75], 'team selection': 'random'}
857,{'tyres': ['Leaf Tyres', 'Azure Roller', 'TriForce Tyres', 'Sponge'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Cloud Glider', 'Flower Glider', 'Hylian Kite'], 'vehicles': ['Badwagon', 'Mercedes 300 SL Roadster', 'Buggybud', 'Master Cycle'], 'players': ['Andy', 'Uma', 'Sid', 'Ian'], 'characters': ['Baby Rosalina', 'Baby Daisy', 'Mario', 'Peach'], 'handicaps before this game': [8.5, 8.75, 6.0, 11.0], 'team selection': 'random'}
858,{'tyres': ['Roller', 'Button', 'Gold Tyres', 'Leaf Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Plane Glider', 'Super Glider', 'Parafoil'], 'vehicles': ['Varmint', 'Yoshi Bike', 'Buggybud', 'Mach 8'], 'players': ['Oliver', 'Joe', 'Uma', 'Ian'], 'characters': ['Toadette', 'Isabelle', 'Larry', 'Donkey Kong'], 'handicaps before this game': [8.75, 6.75, 9.0, 10.75], 'team selection': 'random'}
859,{'tyres': ['Slim', 'Normal Tyres', 'Azure Roller', 'Leaf Tyres'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Cloud Glider', 'Hylian Kite', 'Flower Glider', 'Super Glider'], 'vehicles': ['Mercedes W 25 Silver Arrow', 'Jet Bike', 'Sport Bike', 'Bounder'], 'players': ['Andy', 'Sid', 'Ian', 'Computer'], 'characters': ['Link', 'Lemmy', 'Morton', 'Lakitu'], 'handicaps before this game': [8.75, 5.75, 10.5, 0.0], 'team selection': 'random'}
860,{'tyres': ['Slim', 'Button', 'Retro Off-road', 'Funky Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Cloud Glider', 'Parachute', 'Plane Glider'], 'vehicles': ['Pipe Frame', 'Yoshi Bike', 'Wild Wiggler', 'Bounder'], 'players': ['Arvinda', 'Martha', 'Oliver', 'Guy'], 'characters': ['Waluigi', 'Tanooki Mario', 'Rosalina', 'Pink Gold Peach'], 'handicaps before this game': [2.75, -0.25, 9.0, 5.5], 'team selection': 'random'}
861,{'tyres': ['Retro Off-road', 'Gold Tyres', 'Offroad', 'Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Paper Glider', 'Waddle Wing', 'Super Glider', 'Parafoil'], 'vehicles': ['Standard Kart', 'Standard Kart', 'Mach 8', 'Buggybud'], 'players': ['Uma', 'Ian', 'Sid', 'Andy'], 'characters': ['Lemmy', 'Lemmy', 'Morton', 'Baby Rosalina'], 'handicaps before this game': [9.25, 10.5, 5.75, 8.75], 'team selection': 'random'}
862,{'tyres': ['Cushion', 'Button', 'TriForce Tyres', 'Funky Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Gold Glider', 'Bowser Kite', 'Cloud Glider', 'Parafoil'], 'vehicles': ['Bounder', 'Standard Kart', 'City Tripper', 'Bounder'], 'players': ['Will', 'Oliver', 'Simon', 'Arvinda'], 'characters': ['Iggy', 'Yoshi', 'Villager (male)', 'Larry'], 'handicaps before this game': [2.75, 9.0, 2.75, 2.75], 'team selection': 'random'}
863,{'tyres': ['Slick', 'Leaf Tyres', 'GLA Tyres', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Paper Glider', 'MKTV Parafoil', 'Cloud Glider', 'Gold Glider'], 'vehicles': ['Tri-Speeder', 'Mercedes W 25 Silver Arrow', 'Mercedes 300 SL Roadster', 'Mercedes GLA'], 'players': ['Sid', 'Uma', 'Andy', 'Ian'], 'characters': ['Isabelle', 'Donkey Kong', 'Lemmy', 'Villager (male)'], 'handicaps before this game': [5.5, 9.5, 9.0, 10.25], 'team selection': 'random'}
864,{'tyres': ['TriForce Tyres', 'Azure Roller', 'Metal', 'Crimson Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Waddle Wing', 'Peach Parasol', 'Super Glider', 'Parafoil'], 'vehicles': ['Master Cycle', 'Tri-Speeder', 'Flame Rider', 'Mercedes W 25 Silver Arrow'], 'players': ['Paulin', 'Guy', 'Oliver', 'Tomg'], 'characters': ['Luigi', 'Toad', 'Tanooki Mario', 'Rosalina'], 'handicaps before this game': [2.25, 5.5, 9.25, 3.5], 'team selection': 'random'}
865,{'tyres': ['Normal Blue', 'Slim', 'Roller', 'Leaf Tyres'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Plane Glider', 'MKTV Parafoil', 'Flower Glider', 'Paper Glider'], 'vehicles': ['Gold Standard', 'Steel Driver', 'Mercedes GLA', 'Standard Quad'], 'players': ['Will', 'Simon', 'Arvinda', 'Martha'], 'characters': ['Wendy', 'Metal Mario', 'Roy', 'Morton'], 'handicaps before this game': [2.5, 3.0, 2.5, -0.25], 'team selection': 'random'}
866,{'tyres': ['GLA Tyres', 'Normal Tyres', 'Retro Off-road', 'Monster'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Cloud Glider', 'Cloud Glider', 'Bowser Kite'], 'vehicles': ['City Tripper', 'Flame Rider', 'P-Wing', 'Standard Quad'], 'players': ['Sid', 'Andy', 'Uma', 'Ian'], 'characters': ['Yoshi', 'Baby Mario', 'Metal Mario', 'Baby Mario'], 'handicaps before this game': [5.75, 8.75, 9.75, 10.0], 'team selection': 'random'}
867,{'tyres': ['TriForce Tyres', 'Slim', 'Normal Blue', 'Cyber Slick'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Super Glider', 'Flower Glider', 'Flower Glider', 'Paper Glider'], 'vehicles': ['Cat Cruiser', 'The Duke', 'Flame Rider', 'Landship'], 'players': ['Thomas', 'Ian', 'Andy', 'Sid'], 'characters': ['Pink Gold Peach', 'Luigi', 'Morton', 'Wendy'], 'handicaps before this game': [5.75, 9.75, 9.0, 6.0], 'team selection': 'random'}
868,{'tyres': ['Funky Monster', 'Cyber Slick', 'TriForce Tyres', 'TriForce Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Wario Wing', 'Paper Glider', 'Paper Glider'], 'vehicles': ['Bone Rattler', 'Streetle', 'Varmint', 'Badwagon'], 'players': ['Guy', 'Mark', 'Colin', 'Oliver'], 'characters': ['Baby Daisy', 'Baby Mario', 'Luigi', 'Yoshi'], 'handicaps before this game': [5.75, -0.5, -0.5, 9.5], 'team selection': 'random'}
869,{'tyres': ['Wooden', 'Crimson Slim', 'Leaf Tyres', 'Azure Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Gold Glider', 'Wario Wing', 'Plane Glider', 'Hylian Kite'], 'vehicles': ['Buggybud', 'Steel Driver', 'P-Wing', 'Bounder'], 'players': ['Uma', 'Ian', 'Sid', 'Andy'], 'characters': ['Morton', 'Waluigi', 'Mario', 'Rosalina'], 'handicaps before this game': [9.5, 10.0, 5.75, 9.25], 'team selection': 'random'}
870,{'tyres': ['Monster', 'Azure Roller', 'Retro Off-road', 'Cyber Slick'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Plane Glider', 'Parachute', 'Wario Wing', 'Peach Parasol'], 'vehicles': ['Badwagon', 'Standard Kart', 'Circuit Special', 'Circuit Special'], 'players': ['Gordon', 'Oliver', 'Ian', 'Martha'], 'characters': ['Bowser', 'Link', 'Mario', 'Dry Bowser'], 'handicaps before this game': [-0.25, 9.25, 10.25, -0.5], 'team selection': 'random'}
871,{'tyres': ['GLA Tyres', 'Normal Blue', 'Slim', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Flower Glider', 'Waddle Wing', 'Super Glider'], 'vehicles': ['Prancer', 'Standard Kart', 'Yoshi Bike', 'Buggybud'], 'players': ['Uma', 'Ian', 'Rob', 'Thomas'], 'characters': ['Roy', 'Bowser', 'Koopa Troopa', 'Baby Luigi'], 'handicaps before this game': [9.25, 10.0, 7.25, 5.5], 'team selection': 'random'}
872,{'tyres': ['Sponge', 'Funky Monster', 'Retro Off-road', 'GLA Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Bowser Kite', 'MKTV Parafoil', 'Flower Glider', 'Plane Glider'], 'vehicles': ['Circuit Special', 'Blue Falcon', 'Bone Rattler', 'Mercedes GLA'], 'players': ['Guy', 'Mark', 'Simon', 'Will'], 'characters': ['Cat Peach', 'Toadette', 'Peach', 'Baby Luigi'], 'handicaps before this game': [5.5, -0.25, 3.25, 2.75], 'team selection': 'random'}
873,{'tyres': ['Funky Monster', 'Cyber Slick', 'Monster', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parachute', 'MKTV Parafoil', 'Flower Glider', 'Paper Glider'], 'vehicles': ['Sports Coupe', 'Mercedes W 25 Silver Arrow', 'City Tripper', 'Steel Driver'], 'players': ['Uma', 'Sid', 'Ian', 'Andy'], 'characters': ['Peach', 'Luigi', 'Iggy', 'Shy Guy'], 'handicaps before this game': [9.5, 5.5, 9.75, 9.5], 'team selection': 'random'}
874,{'tyres': ['Leaf Tyres', 'Button', 'Roller', 'Slim'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'Hylian Kite', 'Parachute', 'Paper Glider'], 'vehicles': ['Blue Falcon', 'Badwagon', 'Landship', 'Yoshi Bike'], 'players': ['Sid', 'Ian', 'Andy', 'Oliver'], 'characters': ['Larry', 'Villager (male)', 'Ludwig', 'Dry Bowser'], 'handicaps before this game': [5.5, 9.75, 9.5, 9.5], 'team selection': 'random'}
875,{'tyres': ['Funky Monster', 'Normal Tyres', 'Button', 'Wooden'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Wario Wing', 'Plane Glider', 'Super Glider', 'Cloud Glider'], 'vehicles': ['Mercedes 300 SL Roadster', 'Mercedes GLA', 'Jet Bike', 'Wild Wiggler'], 'players': ['Thomas', 'Ian', 'Andy', 'Computer'], 'characters': ['Mario', 'Mario', 'Dry Bowser', 'Shy Guy'], 'handicaps before this game': [5.25, 9.5, 9.75, 0.0], 'team selection': 'random'}
876,{'tyres': ['Monster', 'GLA Tyres', 'Offroad', 'Crimson Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Gold Glider', 'Waddle Wing', 'Flower Glider', 'Parachute'], 'vehicles': ['Steel Driver', 'Wild Wiggler', 'Streetle', 'Sport Bike'], 'players': ['Oliver', 'Ben', 'Eirik', 'Johan'], 'characters': ['Mario', 'Metal Mario', 'Peach', 'Yoshi'], 'handicaps before this game': [9.0, -0.75, 6.75, 7.5], 'team selection': 'random'}
877,{'tyres': ['Roller', 'Slick', 'Azure Roller', 'Crimson Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Gold Glider', 'Waddle Wing', 'Waddle Wing'], 'vehicles': ['Yoshi Bike', 'Pipe Frame', 'Master Cycle', 'Flame Rider'], 'players': ['Uma', 'Rob', 'Ian', 'Andy'], 'characters': ['Toad', 'Rosalina', 'Shy Guy', 'Cat Peach'], 'handicaps before this game': [9.25, 7.25, 9.5, 9.25], 'team selection': 'random'}
878,{'tyres': ['Gold Tyres', 'Sponge', 'Wooden', 'Retro Off-road'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Gold Glider', 'Plane Glider', 'Plane Glider'], 'vehicles': ['Sport Bike', 'Tanooki Kart', 'Circuit Special', 'Cat Cruiser'], 'players': ['Gordon', 'Martha', 'Oliver', 'Ian'], 'characters': ['Lemmy', 'Rosalina', 'Dry Bowser', 'Waluigi'], 'handicaps before this game': [-0.75, -0.5, 8.75, 9.5], 'team selection': 'random'}
879,{'tyres': ['TriForce Tyres', 'Cyber Slick', 'Slick', 'Retro Off-road'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Hylian Kite', 'Paper Glider', 'Super Glider', 'Cloud Glider'], 'vehicles': ['Landship', 'Master Cycle', 'Blue Falcon', 'Pipe Frame'], 'players': ['Uma', 'Rob', 'Ian', 'Computer'], 'characters': ['Baby Rosalina', 'Toad', 'Baby Mario', 'Metal Mario'], 'handicaps before this game': [9.25, 7.25, 9.75, 0.0], 'team selection': 'random'}
880,{'tyres': ['Normal Tyres', 'Gold Tyres', 'Monster', 'Roller'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Plane Glider', 'Paper Glider', 'Plane Glider', 'Bowser Kite'], 'vehicles': ['Wild Wiggler', 'The Duke', 'Standard Bike', 'Blue Falcon'], 'players': ['Will', 'Mate', 'Oliver', 'Eirik'], 'characters': ['Donkey Kong', 'Iggy', 'Donkey Kong', 'Luigi'], 'handicaps before this game': [3.0, 0.0, 8.75, 7.25], 'team selection': 'random'}
